nflId,position,team,avg_speed,max_speed,avg_acceleration,direction_changes,week
35459.0,SS,DEN,1.720881018401815,7.66,1.0137421225107133,1011,1
35493.0,OLB,KC,1.3469171418986916,9.11,1.1253337806105332,645,1
37075.0,OLB,BUF,1.2927134436204604,7.48,1.0293211637193385,1058,1
37087.0,OLB,CHI,1.3862565141864505,7.41,1.1137290098436594,1486,1
38577.0,ILB,LA,1.0787711111111111,8.6,0.9591766666666665,1976,1
38868.0,FS,SF,1.9508077216154431,8.48,1.2155575311150622,1116,1
40107.0,FS,BUF,1.804632569743706,7.63,1.1445168972556135,1269,1
40166.0,SS,BUF,1.899476071671581,8.21,1.222555001134044,1151,1
41403.0,OLB,ARI,1.3016172615446664,7.45,0.9584734825569671,953,1
42030.0,CB,DEN,1.725487012987013,8.55,1.183513986013986,762,1
42393.0,CB,DEN,1.7750012603982859,9.0,1.1356995210486514,1308,1
42401.0,OLB,ARI,1.301311510031679,6.82,1.0469313621964096,861,1
42403.0,OLB,DEN,1.3165458525906104,8.77,0.9285380685964486,1137,1
42406.0,OLB,KC,1.238451383067896,7.9,0.8947820620284995,1017,1
42543.0,FS,SEA,1.5792487070138828,8.64,0.901144179294075,1725,1
42816.0,CB,LA,1.6814238488783944,8.93,0.9914994096812279,1199,1
42827.0,CB,SEA,1.9294604443399552,8.71,1.2226683907370401,1483,1
42929.0,ILB,DEN,1.5114276452282156,8.95,1.1442842323651452,1730,1
43294.0,CB,LA,1.6100755555555555,10.28,0.964211111111111,1236,1
43376.0,ILB,ARI,1.6192123030757688,9.14,1.145804576144036,1006,1
43387.0,FS,DEN,1.6102331736828839,8.52,1.0289261406604486,1162,1
43413.0,SS,KC,1.8855663915978995,7.42,1.1325806451612903,210,1
43474.0,FS,CHI,1.4326666666666665,3.89,0.7582222222222224,4,1
44818.0,SS,SEA,1.742555309734513,8.57,1.124406342182891,380,1
44848.0,SS,ARI,1.7495303978994141,10.01,1.142458089274894,1190,1
44855.0,CB,SEA,1.7450754815200415,7.95,1.148084331077564,337,1
44873.0,FS,SEA,1.726365209366709,9.89,1.120094589918099,1429,1
44925.0,FS,CHI,1.844190618762475,9.23,1.2031566866267467,1397,1
44976.0,MLB,BUF,1.6798142173767936,8.41,1.228425853821337,1652,1
45008.0,ILB,ARI,1.0589705882352942,6.36,1.0103450226244344,383,1
45045.0,OLB,KC,1.3613178294573645,7.36,1.1850516795865633,183,1
45345.0,OLB,CHI,1.5271147704590817,8.54,1.157685628742515,1963,1
46074.0,OLB,DEN,1.356988429228087,7.7,1.0542241242669204,1645,1
46077.0,ILB,CHI,1.4601636726546907,8.17,1.1420848303393212,2124,1
46085.0,ILB,BUF,1.492325063967071,8.32,1.2259305818222272,1820,1
46117.0,OLB,SEA,1.323066343042071,8.66,1.0313602346278317,2783,1
46137.0,SS,KC,1.787315396987864,8.5,1.1984105863430325,1173,1
46139.0,ILB,SF,1.4021363692920243,9.64,1.1501107378375013,1580,1
46190.0,CB,BUF,1.7533193467906556,8.78,1.26668745747335,1765,1
46223.0,CB,BUF,1.1497687861271677,4.56,0.8808959537572253,53,1
46290.0,OLB,CHI,1.42402489626556,7.63,1.1747551867219916,549,1
46354.0,CB,SF,1.779345526937912,8.07,1.163444071170835,1328,1
46407.0,CB,KC,1.8867809239940387,6.59,1.4357675111773474,139,1
46657.0,OLB,ARI,1.5281323741007196,7.64,1.1397151079136691,588,1
46674.0,ILB,ARI,1.819724393253805,7.66,1.279020979020979,455,1
46711.0,SS,SEA,2.140226628895184,7.35,1.0308781869688386,40,1
46757.0,CB,SF,1.8654597486624362,9.35,1.132668906308324,1260,1
47816.0,CB,ARI,1.7403163246093014,9.15,1.109244021841461,1592,1
47844.0,SS,LA,1.6549155555555555,8.72,1.057728888888889,1220,1
47846.0,FS,KC,1.738246819710484,9.11,1.175492030998684,1232,1
47862.0,CB,LA,1.616959850023434,9.69,0.9334478987658178,781,1
47871.0,MLB,SEA,1.6080956538610787,9.05,1.1681470702367094,2623,1
47922.0,SS,ARI,1.621013888888889,6.64,1.0598055555555554,114,1
47931.0,ILB,SF,1.4529463730247607,8.57,1.1439878063954212,1854,1
47939.0,OLB,LA,1.2481746900072939,7.08,1.0181126914660832,1020,1
47941.0,CB,SEA,1.682763814535886,10.05,1.0551338354051358,2370,1
47964.0,FS,BUF,2.0843641618497113,6.66,0.9419364161849714,30,1
47984.0,CB,KC,1.6196273102184207,9.8,1.0944860241331906,1160,1
48026.0,SS,LA,1.5662086764163696,9.13,1.0627676047683419,1248,1
48117.0,OLB,SF,1.7495806451612903,7.37,1.405225806451613,78,1
48259.0,ILB,KC,1.708634658664666,7.07,1.2400975243810954,276,1
48268.0,ILB,SF,1.5996827956989246,7.96,1.218758064516129,684,1
48447.0,FS,DEN,1.6115656565656564,7.68,1.146868686868687,32,1
48482.0,MLB,BUF,1.3369714285714287,5.46,0.8303428571428572,30,1
49410.0,FS,ARI,1.8588749764639425,10.52,1.1551788740350217,1389,1
52416.0,MLB,ARI,1.9018752010292699,9.0,1.2028079768414282,1391,1
52435.0,ILB,SEA,1.534241901823791,8.91,1.1033381725796207,2726,1
52456.0,OLB,SEA,1.3336904374253773,8.78,0.9004569629870834,2364,1
52458.0,CB,CHI,1.5191389851232935,8.33,1.0134899123700836,1620,1
52471.0,OLB,KC,1.4394172772192875,8.14,1.1086607599250298,1118,1
52492.0,OLB,LA,1.0610454686050108,7.17,0.9932044540674297,708,1
52546.0,CB,KC,1.66353019597387,9.44,1.1941821090521263,1260,1
52563.0,OLB,CHI,1.3216353147730124,7.02,1.107200902934537,927,1
52571.0,CB,CHI,1.7340800921187307,9.21,1.1761975435005116,1045,1
52607.0,FS,LA,1.5649486977111287,7.32,1.1068626677190212,437,1
52647.0,CB,BUF,1.7374007711499204,8.19,1.151540031753232,1407,1
52706.0,ILB,DEN,1.508322162645219,7.94,1.1940638963360142,1201,1
52945.0,CB,ARI,2.157947570332481,8.66,1.3277813299232737,256,1
53315.0,OLB,DEN,1.9965384615384614,7.37,1.7765384615384614,47,1
53438.0,CB,DEN,1.8793824048399295,9.16,1.095257121250315,1413,1
53445.0,OLB,ARI,1.4927450980392158,9.04,1.0988777219430486,1771,1
53487.0,ILB,KC,1.4845357508407662,8.39,1.1449407808159087,1435,1
53490.0,OLB,BUF,1.3785623486682808,8.6,0.9558050847457628,532,1
53532.0,ILB,LA,1.3301581818181818,7.28,1.0781327272727272,994,1
53534.0,ILB,DEN,1.41816617613765,7.88,1.1093253339370615,1045,1
53565.0,CB,ARI,1.8213678553981436,8.53,1.2435144113336591,1813,1
53581.0,SS,DEN,1.7722070844686648,7.84,1.044073569482289,127,1
53601.0,CB,SF,1.1633742331288344,5.35,1.2452147239263804,35,1
53609.0,SS,SF,1.8054025133756377,8.14,1.2735859151424658,1342,1
53639.0,OLB,ARI,1.466921862667719,8.52,1.1164009471191794,708,1
53641.0,SS,BUF,1.8890173410404625,7.06,1.0391329479768785,32,1
53668.0,OLB,DEN,1.8938755980861244,8.32,1.3097703349282297,278,1
54486.0,CB,KC,1.526223439211391,9.07,1.152457831325301,950,1
54488.0,CB,BUF,1.936789667896679,8.84,1.2666720479704798,665,1
54504.0,CB,CHI,1.8629600798403194,9.29,1.317696606786427,1810,1
54505.0,OLB,SEA,1.530285617137028,8.56,1.1914144848690922,832,1
54513.0,SS,CHI,1.8790508982035927,9.19,1.2345758483033935,1435,1
54527.0,FS,KC,2.091223185759927,7.16,1.3161706983112733,297,1
54552.0,OLB,ARI,1.5795544554455443,8.44,0.9974257425742575,105,1
54554.0,MLB,BUF,1.2546285714285714,5.14,0.8513142857142858,36,1
54568.0,OLB,KC,1.6739875389408099,6.5,1.1892419522326063,236,1
54574.0,CB,SEA,2.3694252873563215,9.1,1.2019540229885055,72,1
54600.0,CB,KC,1.99138784696174,7.44,1.2653938484621154,208,1
54618.0,CB,SEA,1.790169230769231,8.94,1.090989010989011,1768,1
54637.0,CB,SF,1.809076615922136,8.27,1.2082929872722736,688,1
54650.0,CB,BUF,1.7761557788944724,8.96,1.134880170081175,892,1
54708.0,CB,KC,1.7996617687829222,9.32,1.1533739950097033,680,1
54709.0,CB,ARI,0.9751587301587303,3.53,1.1106349206349209,36,1
54750.0,OLB,LA,1.4292270531400968,5.26,1.3050724637681161,56,1
37792.0,ILB,SEA,0.951787072243346,4.56,1.1136121673003803,60,2
38577.0,ILB,LA,1.0570173129492761,7.95,0.8361506530322972,1874,2
38592.0,CB,ATL,1.529775542745002,8.76,0.9562124371397032,1209,2
39908.0,FS,ATL,1.5888937264991094,8.46,1.1549732831981,950,2
40039.0,SS,LV,1.62583021515435,8.87,0.9923659183037106,1465,2
41403.0,OLB,ARI,1.082298797409806,5.92,0.910536540240518,441,2
42401.0,OLB,ARI,1.2091759058178078,7.63,0.942481426448737,1627,2
42543.0,FS,SEA,1.3275770020533881,8.39,0.8854537987679671,1661,2
42816.0,CB,LA,1.5212033660589062,9.14,0.9145413744740534,480,2
42901.0,SS,ATL,1.483980686695279,9.12,1.0125858369098713,690,2
43294.0,CB,LA,1.2785947149944314,10.16,0.8268482332692114,1519,2
43376.0,ILB,ARI,1.3402975360297533,8.67,1.0029800092980008,809,2
43616.0,FS,LV,1.7330067567567569,8.24,0.9658445945945946,94,2
44848.0,SS,ARI,1.6258651318770962,9.42,1.013332729085471,1258,2
44873.0,FS,SEA,1.642834702258727,10.13,1.1127145790554416,1393,2
44968.0,OLB,LV,1.2795906967296364,7.97,1.0400802356286816,2033,2
45008.0,ILB,ARI,0.9875994267287712,6.26,0.9610426370476531,565,2
46091.0,ILB,ATL,1.202659038421163,7.98,0.9694247323115681,1874,2
46117.0,OLB,SEA,1.2517881646655231,9.0,1.0398842195540308,1742,2
46135.0,OLB,ATL,1.0774350756989721,8.27,0.867296938888275,1797,2
46521.0,ILB,ARI,1.1285022692889561,6.29,1.0047730711043872,266,2
46657.0,OLB,ARI,1.3579520513253418,9.4,1.043555630592605,1042,2
46674.0,ILB,ARI,1.4044897959183675,7.02,0.8834693877551021,31,2
46711.0,SS,SEA,1.039761388286334,6.0,1.0185466377440346,120,2
46823.0,CB,ATL,1.452269272529859,9.99,0.982128121606949,467,2
47810.0,SS,LV,1.5731024359279537,9.42,1.0051122748551933,1811,2
47816.0,CB,ARI,1.788391512033805,9.96,1.048905015616388,1554,2
47817.0,CB,LV,1.5897318366074213,9.02,1.0584962581852198,2756,2
47844.0,SS,LA,1.6304351827504602,8.3,1.0085813831185906,962,2
47862.0,CB,LA,1.4877526059763724,8.98,0.9491646977067407,1007,2
47871.0,MLB,SEA,1.542934921310081,8.23,1.1642418119948958,1974,2
47939.0,OLB,LA,1.3075382447665058,8.07,0.9562318840579709,908,2
47941.0,CB,SEA,1.5472776194998417,8.95,1.0714456051493089,1782,2
48008.0,OLB,SEA,1.1713867966326983,7.6,1.0015152857775809,504,2
48026.0,SS,LA,1.5036317135549873,8.7,0.958015577772611,1252,2
48581.0,SS,LV,1.4839503139503143,7.88,0.9367076167076167,610,2
49410.0,FS,ARI,1.5705070733051623,9.55,1.039571008634944,1423,2
52272.0,CB,ATL,1.7704221894943544,9.12,1.1898330878743248,322,2
52416.0,MLB,ARI,1.9774828209764919,9.73,1.1568065099457503,423,2
52424.0,CB,ATL,1.4021010256975848,7.59,1.0349365832138524,1772,2
52435.0,ILB,SEA,1.4097895277207395,8.97,1.1152864476386037,2078,2
52456.0,OLB,SEA,1.1810962133490497,7.78,0.8214851922793576,1408,2
52492.0,OLB,LA,0.937999601514246,7.96,0.82810121538155,998,2
52527.0,ILB,ATL,1.2717503454629202,8.68,0.986283740211884,2014,2
52542.0,FS,ATL,1.4537610976594026,8.26,1.103225181598063,1147,2
52547.0,CB,LV,1.4920928729689806,8.96,1.0349039881831612,1936,2
52607.0,FS,LA,1.607729720907459,9.29,1.0791104945323975,1081,2
52835.0,OLB,LA,0.7120707070707071,3.29,0.5107575757575757,32,2
52945.0,CB,ARI,1.8215116428663323,8.26,1.2107037179981988,1185,2
53445.0,OLB,ARI,1.2345101060455002,8.85,0.9859041058642255,2078,2
53469.0,SS,ATL,1.5177199447259329,9.31,1.0196001842468907,1698,2
53509.0,MLB,LV,1.2815357031493608,8.44,1.0996835048331772,2912,2
53532.0,ILB,LA,1.294986426456071,8.43,1.012366732477789,1649,2
53537.0,CB,ATL,1.4858663697104677,8.71,1.0244966592427616,662,2
53559.0,CB,LA,1.7803428571428572,8.66,1.0772952380952379,99,2
53565.0,CB,ARI,1.6706852838508175,7.67,1.1678008451221753,1835,2
53596.0,CB,LV,1.437867165575304,9.16,0.9781244153414407,2153,2
53611.0,OLB,ATL,1.0401171480508986,9.06,0.8575661482528781,960,2
53639.0,OLB,ARI,1.1778576751117735,7.98,1.0062295081967214,484,2
54503.0,OLB,ATL,1.083841463414634,6.79,0.929380081300813,1333,2
54505.0,OLB,SEA,1.2247277305634245,6.14,1.0954579792256847,804,2
54523.0,ILB,ATL,1.3257411587659893,8.61,1.0841008276899924,284,2
54547.0,OLB,ATL,1.0221982281284607,7.57,0.8690808416389811,338,2
54552.0,OLB,ARI,1.1308252427184466,5.36,0.7886407766990293,36,2
54574.0,CB,SEA,1.6198314277338022,9.64,1.1806009967751392,1240,2
54607.0,CB,LA,1.9644431554524362,9.96,1.1484222737819025,524,2
54618.0,CB,SEA,1.580758678906827,10.39,1.054272449087264,1690,2
54750.0,OLB,LA,1.0696987951807229,4.38,0.9079216867469879,47,2
35459.0,SS,DEN,1.5254293628808862,9.46,1.018016620498615,929,3
37792.0,ILB,SEA,0.4605405405405405,1.32,0.6617117117117118,35,3
38577.0,ILB,LA,1.1822341707611013,8.04,0.9388810605358302,2111,3
38592.0,CB,ATL,1.7407546811139625,9.87,1.0376713240186295,1666,3
38868.0,FS,SF,1.7020708839892849,9.03,1.0866999793941892,1496,3
41403.0,OLB,ARI,1.2620108243130723,6.4,0.9279683597002496,431,3
42030.0,CB,DEN,1.5764677145284622,7.71,1.2162999150382328,813,3
42393.0,CB,DEN,1.523408587257618,9.83,1.030180055401662,1112,3
42401.0,OLB,ARI,1.45033040995309,8.38,1.0691658168468285,974,3
42403.0,OLB,DEN,1.3481953051643194,8.75,0.9048112676056338,1061,3
42543.0,FS,SEA,1.6170002063131834,9.78,0.8956994016917681,1471,3
43294.0,CB,LA,1.3212207388441843,9.53,0.9165316386247258,1827,3
43376.0,ILB,ARI,1.4128735232800556,8.38,1.0038811674774148,529,3
44848.0,SS,ARI,1.7654539376922045,9.64,1.1397192137986363,1030,3
44873.0,FS,SEA,1.7252671755725189,9.63,0.9841541159480091,1321,3
45008.0,ILB,ARI,1.3757401177460051,7.86,0.9494280908326324,474,3
46074.0,OLB,DEN,1.360416291223644,8.16,1.0884105244188143,1322,3
46091.0,ILB,ATL,1.3846564014827487,8.7,1.0148284383613724,2726,3
46117.0,OLB,SEA,1.2451466628879126,8.59,0.9390661754286523,2125,3
46135.0,OLB,ATL,1.256156207366985,7.66,0.9935038653933607,2660,3
46139.0,ILB,SF,1.1667923763179238,7.96,1.002713909164639,2040,3
46164.0,SS,SF,1.5795569620253165,5.57,1.0517088607594938,21,3
46175.0,ILB,DEN,1.5809703504043129,8.75,1.2029634621144056,1329,3
46349.0,FS,SF,0.9780672268907563,5.15,0.9468067226890756,28,3
46354.0,CB,SF,1.6238193945613133,9.9,1.0174335556695742,1567,3
46521.0,ILB,ARI,1.5475037593984964,8.26,1.0510877192982457,414,3
46657.0,OLB,ARI,1.460117035110533,9.03,1.0745643693107934,393,3
46686.0,CB,LA,1.431292981629769,9.35,1.0923539802166746,1633,3
46757.0,CB,SF,1.5823803991973808,9.6,1.0254335199070652,1441,3
46823.0,CB,ATL,1.79173880316146,9.13,1.2011479111780203,489,3
47816.0,CB,ARI,1.9381468110709987,9.47,1.185229308731114,1092,3
47844.0,SS,LA,1.5316349670811997,8.1,1.0821333211411852,1746,3
47871.0,MLB,SEA,1.5523509387249845,8.83,1.0835640602434495,2108,3
47931.0,ILB,SF,1.2790196674776968,8.57,1.0856336171938363,2278,3
47939.0,OLB,LA,1.204075471698113,8.25,0.9979979035639412,904,3
47941.0,CB,SEA,1.5957592325149577,9.97,0.993271095523004,2226,3
48008.0,OLB,SEA,1.2567761017450458,7.76,0.989997042295179,1054,3
